Time,Queue Length,Mean Response Time,Mean Waiting Time,Utilization,Reliability
0,0,0.000000,0.000000,0.000000,1.000000
1,0,0.000000,0.000000,0.000000,1.000000
2,0,0.000000,0.000000,0.000000,1.000000
3,0,0.000000,0.000000,0.000000,1.000000
4,0,0.000000,0.000000,0.000000,1.000000
5,0,0.000000,0.000000,0.000000,1.000000
6,0,0.000000,0.000000,0.008004,1.000000
7,0,0.000000,0.000000,0.149718,1.000000
8,0,0.000000,0.000000,0.256003,1.000000
9,0,0.000000,0.000000,0.338669,1.000000
10,0,0.000000,0.000000,0.404802,1.000000
11,0,0.000000,0.000000,0.458911,1.000000
12,0,0.000000,0.000000,0.504002,1.000000
13,0,0.000000,0.000000,0.542156,1.000000
14,0,7.777805,0.000000,0.574859,1.000000
15,0,7.777805,0.000000,0.603202,1.000000
16,0,3.888903,0.000000,0.532901,1.000000
17,0,4.326562,0.000000,0.560378,1.000000
18,0,4.326562,0.000000,0.584801,1.000000
19,0,2.884374,0.000000,0.469117,1.000000
20,0,2.884374,0.000000,0.495661,1.000000
21,0,2.884374,0.000000,0.519677,1.000000
22,0,2.884374,0.000000,0.541510,1.000000
23,0,2.884374,0.000000,0.561445,1.000000
24,0,2.884374,0.000000,0.579718,1.000000
25,0,2.884374,0.000000,0.596529,1.000000
26,0,2.884374,0.000000,0.612047,1.000000
27,0,2.884374,0.000000,0.626416,1.000000
28,0,5.863089,0.000000,0.639758,1.000000
29,0,5.863089,0.000000,0.652180,1.000000
30,0,5.863089,0.000000,0.663774,1.000000
31,0,5.863089,0.000000,0.674620,1.000000
32,0,5.863089,0.000000,0.684788,1.000000
33,0,5.863089,0.000000,0.694340,1.000000
34,0,4.397317,0.000000,0.525136,1.000000
35,0,4.397317,0.000000,0.538703,1.000000
36,0,4.397317,0.000000,0.551517,1.000000
37,0,4.397317,0.000000,0.563638,1.000000
38,0,4.397317,0.000000,0.575121,1.000000
39,1,3.517854,0.000000,0.586016,1.000000
40,1,3.517854,0.000000,0.596365,1.000000
41,1,3.517854,0.000000,0.606210,1.000000
42,1,3.517854,0.000000,0.615586,1.000000
43,1,3.517854,0.000000,0.624526,1.000000
44,2,2.931545,0.000000,0.633059,1.000000
45,3,2.512753,0.000000,0.641214,1.000000
46,3,2.512753,0.000000,0.649013,1.000000
47,3,2.512753,0.000000,0.656481,1.000000
48,2,4.435185,1.171696,0.663638,1.000000
49,2,4.435185,1.171696,0.670502,1.000000
50,2,4.435185,1.171696,0.677092,1.000000
51,2,4.435185,1.171696,0.683424,1.000000
